#Time(Localtime),Temperature(degC),Pressure(Pa)
2015-08-08 18:44:29.452417,31.2,98188
2015-08-08 18:44:29.473476,31.2,98182
2015-08-08 18:44:30.223435,31.2,98185
2015-08-08 18:44:31.235055,31.2,98176
2015-08-08 18:44:32.248920,31.2,98179
2015-08-08 18:44:45.781669,31.2,98188
2015-08-08 18:44:45.790394,31.2,98188
2015-08-08 18:44:45.804429,31.2,98188
2015-08-08 18:44:45.824698,31.2,98185
2015-08-08 18:44:45.844654,31.2,98170
2015-08-08 18:44:45.853362,31.2,98176
2015-08-08 18:44:45.874512,31.2,98167
2015-08-08 18:44:45.894575,31.2,98173
2015-08-08 18:44:45.904650,31.2,98170
2015-08-08 18:44:45.924308,31.2,98182
2015-08-08 18:44:45.943075,31.2,98179
2015-08-08 18:44:45.961722,31.2,98182
2015-08-08 18:44:45.974561,31.2,98188
2015-08-08 18:44:46.424171,31.2,98182
2015-08-08 18:44:47.436347,31.2,98185
2015-08-08 18:44:48.448861,31.2,98182
2015-08-08 18:44:49.470369,31.2,98185
2015-08-08 18:44:50.474194,31.2,98182
2015-08-08 18:44:51.486491,31.2,98194
2015-08-08 18:44:52.499194,31.2,98185
2015-08-08 18:44:53.511634,31.2,98170
2015-08-08 18:44:54.523960,31.2,98179
2015-08-08 18:44:55.537083,31.2,98191
2015-08-08 18:44:56.560719,31.2,98191
2015-08-08 18:44:57.562477,31.2,98188
2015-08-08 18:44:58.574172,31.2,98194
2015-08-08 18:44:59.586769,31.2,98202
2015-08-08 18:45:00.600217,31.2,98194
2015-08-08 18:45:01.612011,31.2,98191
2015-08-08 18:45:02.624726,31.2,98205
2015-08-08 18:45:03.637048,31.2,98202
2015-08-08 18:45:04.650579,31.2,98197
2015-08-08 18:45:05.662723,31.2,98205
2015-08-08 18:45:06.675466,31.2,98211
2015-08-08 18:45:14.897830,31.2,98232
2015-08-08 18:45:14.924405,31.2,98226
2015-08-08 18:45:14.932954,31.2,98235
2015-08-08 18:45:14.954677,31.2,98226
2015-08-08 18:45:14.976325,31.2,98232
2015-08-08 18:45:14.984987,31.2,98229
2015-08-08 18:45:15.010456,31.2,98229
2015-08-08 18:45:15.019130,31.2,98229
2015-08-08 18:45:15.787555,31.2,98223
2015-08-08 18:45:16.810741,31.2,98232
2015-08-08 18:45:17.820658,31.2,98208
2015-08-08 18:45:18.825579,31.2,98179
2015-08-08 18:45:19.838341,31.2,98147
2015-08-08 18:45:20.850995,31.2,98153
2015-08-08 18:45:21.863732,31.2,98139
2015-08-08 18:45:22.876092,31.2,98147
2015-08-08 18:45:23.888223,31.2,98156
2015-08-08 18:45:24.901140,31.2,98158
2015-08-08 18:45:25.914134,31.2,98164
2015-08-08 18:45:26.925679,31.2,98167
2015-08-08 18:45:27.938422,31.2,98164
2015-08-08 18:45:28.951432,31.2,98158
2015-08-08 18:45:29.964288,31.2,98158
2015-08-08 18:45:30.976121,31.2,98179
2015-08-08 18:45:35.876632,31.2,98194
2015-08-08 18:45:35.886244,31.2,98185
2015-08-08 18:45:35.894877,31.2,98170
2015-08-08 18:45:35.903608,31.2,98158
2015-08-08 18:45:36.039283,31.2,98164
2015-08-08 18:45:37.052057,31.2,98170
2015-08-08 18:45:38.064070,31.2,98173
2015-08-08 18:45:39.077035,31.2,98176
2015-08-08 18:45:40.089560,31.2,98173
2015-08-08 18:45:41.102689,31.2,98173
2015-08-08 18:45:42.114218,31.2,98170
2015-08-08 18:45:43.127100,31.2,98167
2015-08-08 18:45:44.139496,31.2,98170
2015-08-08 18:45:45.153086,31.2,98182
2015-08-08 18:45:46.165309,31.2,98173
2015-08-08 18:45:47.177516,31.2,98176
2015-08-08 18:45:48.200298,31.2,98164
